text,label
"Despite the patient’s history of preeclampsia during pregnancy, current assessment indicates a complete lack of [ENTITY]postpartum hypertension[/ENTITY].",Absent
"h/o    GERD,  [entity] peptic ulcer [entity]  disease with subtotal gastrectomy and repair of    hiatal hernia with fundoplication due to non healing ulcer, h/o    esopheagel strictures s/p dilation.",Present
Pt also has sever     [entity] mucocytis [entity]  and is largely non-verbal in part r/t mucocytis.,Present
"Given the patient's persistent fever and recent travel, viral exanthems were considered, but serial skin exams revealed [ENTITY]absence of rash[/ENTITY] throughout the hospitalization.",Absent
"Given persistent rhonchi and mild dyspnea, the patient is at risk for developing a [ENTITY]productive cough[/ENTITY] post-extubation.",Hypothetical
"Extensive  [entity] atherosclerotic disease [entity] , without aortic aneurysm or dissection seen.",Present
"The current management aims to prevent further respiratory distress, but a [ENTITY]persistent cough[/ENTITY] remains a potential sequela.",Hypothetical
Patient's history of peptic ulcers places them at risk for recurrent [ENTITY]stomach discomfort[/ENTITY] with continued stress factors.,Hypothetical
The infant not crying and was intubated and no  [entity] meconium [entity]  was suctioned from below the cords.,Absent
Coronary angiography confirms [ENTITY]acute MI[/ENTITY] due to occlusion of the right coronary artery with TIMI,Present
"During her stay, she developed a  [entity] tingling [entity] , itchiness and multiple small erythematous skin lesions on her right buttock over the S2, S3 dermatomal distribution.",Present
"The patient did develop transient episodic  [entity] hypertension [entity]  to a systolic pressure of 200 requiring Labetalol drip, however, this was successfully weaned and the patient was transitioned to Labetalol tablets.",Present
"The anesthesiologist managed the patient's airway with [ENTITY]mechanical ventilation[/ENTITY], adjusting settings to maintain optimal ventilation.",Present
"Upon presentation, the patient was found to have [ENTITY]NSTEMI[/ENTITY] complicated by cardiogenic shock requiring inotropic support.",Present
"History of Present Illness: HPI: 57 y/o Spanish speaking female with h/o HTN, DM 2, hyperlipidemia, CAD s/p 4V CABG [**4-12**], and asthma who presented to her PCP for regularly scheduled visit, complained of dizziness, nausea,  [entity] vomiting [entity]  for one week, and with chest pain, and was found to be hypotensive.",Present
Patient presents with [ENTITY]altered mental status[/ENTITY] following severe traumatic brain injury with subdural hematoma and multiple other injuries.,Present
She was found to have  [entity] atrial fibrillation [entity]  and sent to the ED.,Present
"The patient's chest radiograph showed no evidence of [ENTITY]pneumonia[/ENTITY], and they were discharged with a diagnosis of acute bronchitis.",Absent
"The patient presented with symptoms consistent with [ENTITY]bacterial respiratory infection[/ENTITY], including productive cough and elevated WBC count.",Present
"[entity] Diabetes type 2 [entity]  ESRD on HD Q M,W,F s/p ORIF for left distal femur fracture on [**2176-1-23**]",Present
He was admitted to the neonatal intensive care unit for treatment of  [entity] prematurity [entity] .,Present
"During hospitalization, patient experienced a non-ST elevation [ENTITY]acute MI[/ENTITY] with significant coronary artery disease identified.",Present
"Concomitant [ENTITY]community-acquired pneumonia[/ENTITY] and acute coronary syndrome presented a challenging clinical scenario requiring multidisciplinary management and close monitoring.
Note Type: ICU/Transfer Note
Section: Cardiovascular Status
Target Entity: community-acquired pneumonia
---",Present
The cardiology consultation report indicated that the patient denies experiencing [ENTITY]systolic dysfunction[/ENTITY] or symptoms suggestive of heart failure.,Absent
"#  [entity] Vasovagal bradycardia [entity]  - the day prior to admission, while the patient was having a bowel movement, he was noted on telemetry to brady to the 30s, he felt light headed and it resolved in 5 minutes.",Present
"Not experiencing [ENTITY]bilateral pneumonia[/ENTITY], the patient will undergo a CT scan to further investigate the cause of their respiratory distress.",Absent
"MRI of the brain was performed, ruling out acute [ENTITY]ischemic stroke[/ENTITY] and showing no new lesions.",Absent
"Physical Exam: HEENT: Pupils equal, round and reactive to light, Extraocular muscles intact Oropharynx within normal limits Chest: Clear to auscultation Cardiovascular: Regular Rate and Rhythm Abdominal: Soft, Nontender GU/Flank: No costovertebral angle tenderness Extr/Back: No  [entity] cyanosis [entity] , clubbing or edema Neuro: Speech fluent",Absent
"[**Known lastname 52368**] is a 59M w  [entity] HepC cirrhosis [entity]  c/b grade I/II esophageal varices and portal gastropathy (last EGD [**3-/2150**]), who p/w coffee-ground emesis and melena x2 days.",Present
"At the OSH, he had an approx 45sec generalized tonic clonic  [entity] seizure [entity] , received 1mg Ativan, and transferred to the ED at [**Hospital1 18**].",Present
She was found to have elevated LFTs and was thought to have a component of hepatic  [entity] encephalopathy [entity] .,Present
Patient is currently on [ENTITY]mechanical ventilation[/ENTITY] with synchronized intermittent mandatory ventilation mode at,Present
"The patient, with a history of dementia and recent hip fracture surgery, showed no signs of [ENTITY]delirium[/ENTITY] during the neurological examination today.",Absent
"We are ruling out secondary causes, but initial workup shows no indication of [ENTITY]elevated blood pressure[/ENTITY] contributing to her current presentation.",Absent
"No  [entity] stasis [entity]  dermatitis, ulcers, scars, or xanthomas.",Absent
"The radiological findings were negative for acute pathology, and the patient did not exhibit [ENTITY]delirium[/ENTITY] or altered mental status.",Absent
"[entity] Pulmonary embolism [entity] , [**2108-1-2**].",Present
"The patient's post-operative course was unremarkable, with [ENTITY]no postoperative delirium or cognitive impairment[/ENTITY] noted during daily assessments.",Absent
"Discharge Diagnosis: Coronary Artery Disease CAD-(AMI [**2143-7-3**], [**Name Prefix (Prefixes) **] [**Last Name (Prefixes) **] LCx [**6-/2155**]),Cardiomyopathy- EF 35-45% Ventricular tachycardia s/p AICD [**8-/2155**], Atrial flutter s/p ablation [**8-/2155**], Hypertension,  [entity] Dyslipidemia [entity] ,Insulin dependent diabetes Mellitus, Obesity, Conduction disease-LAFB, Peripheral vascular disease s/p Right fem-[**Doctor Last Name **] bypas [**3-/2161**], Left leg claudication, Right thigh tumor s/p radiation and excision [**2141**]'s",Present
"The patient, still recovering from pneumonia diagnosed last month, reports no new [ENTITY]cough[/ENTITY] since discharge and completed her antibiotic regimen as prescribed.",Absent
"Start amlodipine for blood pressure control, but with careful monitoring given no history of [ENTITY]hemorrhage[/ENTITY] or bleeding diathesis reported by patient.",Absent
"The patient was also intermittently hyponatremic during his stay, likely secondary to syndrome of inappropriate antidiuretic hormone secondary to the thoracic processes (namely bilateral  [entity] pneumonia [entity] , pulmonary embolisms) on this admission.",Present
"Past Medical History: CAD-(AMI [**2143-7-3**], [**Name Prefix (Prefixes) **] [**Last Name (Prefixes) **] LCx [**6-/2155**]) Cardiomyopathy- EF 35-45% depending on study Ventricular tachycardia s/p AICD [**8-/2155**] Atrial flutter s/p ablation [**8-/2155**] Hypertension Dyslipidemia Insulin dependent diabetes Mellitus Obesity  [entity] Conduction disease-LAFB [entity]  Peripheral vascular disease s/p Right fem-[**Doctor Last Name **] bypas [**3-/2161**] Left leg claudication Right thigh tumor s/p radiation and excision [**2141**]'s",Present
"During the respiratory status evaluation, it was noted that the patient was without [ENTITY]oliguria[/ENTITY], maintaining a satisfactory urine output on minimal vasopressor support.
Note Type: ICU/Transfer Note
Section: Respiratory Status/Ventilator Settings
Target Entity: oliguria
Negation: TRUE
---",Absent
"Brief Hospital Course: [**Age over 90 **]yoF with  [entity] CAD [entity]  s/p stent to mid-[**Name (NI) **], PTCA of jailed OM1, IVUS of LMCA with MLA presenting with body pain and chest pain.",Present
"No evidence of [ENTITY]respiratory failure[/ENTITY] was found on examination, with normal respiratory rate and no need for supplemental oxygen.",Absent
"CT imaging and MRI of spine showed no fracture or ligamentous injury, CT did not show any  [entity] acute injury [entity]  or fracture in chest, abdomen, or pelvis.",Absent
Concern for future [ENTITY]tissue swelling[/ENTITY] exists if the indwelling catheter placement irritates the local vasculature.,Hypothetical
"Follow-up examination revealed no signs of bleeding or infection, and the patient mentioned no [ENTITY]retrosternal pain[/ENTITY], tightness, or pressure.
Note Type: Procedure Note
Section: Complications
Target Entity: retrosternal pain
Negation: TRUE
---",Absent
Concern for developing superficial [ENTITY]tissue swelling[/ENTITY] persists due to the patient's history of frequent falls and anticoagulation use.,Hypothetical
"Given the absence of peripheral edema, normal JVP, and clear lung fields on auscultation, [ENTITY]heart failure[/ENTITY] is not supported by the clinical picture.",Absent
"Review of Systems: (+) Per HPI (-) Review of Systems: Denies fevers,  [entity] chest pain [entity] , SOB, diarrhea, constipation, dysuria, HA, change in vision or dizziness.",Absent
"The patient's hospital course was complicated by a urinary tract infection, but there were no reports or observations of [ENTITY]delirium[/ENTITY] documented.",Absent
"[entity] Brain abscess [entity]  (CNS abscess)    Assessment:           S/P crani and drainage of abscess           follows commands, strong strengths left side           right side improved from yesterday, patient able to move to    command           emotional at times today, frustrated with intermittent    expressive aphasia    Action:           ATC IV ABX           ID following           Dr.",Present
The patient underwent an uneventful laparoscopic cholecystectomy without evidence of [ENTITY]blood loss[/ENTITY] or significant hemodynamic instability.,Absent
"His electrocardiogram was significant for  [entity] sinus bradycardia [entity]  at 54, with Q waves in II, III and AVF.",Present
DIAGNOSIS:  [entity] Right thalamocapsular hemorrhage [entity]  likely secondary to hypertension,Present
"On repeat [**Location (un) 1131**] of the patient's existing CAT scans, it was determined that what was initially read as a mass on the first CT was likely to be extension of the  [entity] hematoma [entity] .",Present
Post-surgical changes in the soft tissue with  [entity] subcutaneous emphysema [entity]  mostly in the right submandibular region.,Present
"3 mg/dL    [**4-24**] Resp cx: moderate coag+ staph, sparse yeast; [**4-21**], [**4-22**], [**4-24**] bcx    NGTD    Assessment and Plan    55 yo male with DM 2, HTN, CAD s/p IMI and DES to RCAx3 transferred    from OSH for high-grade bacteremia, foot ulcer, AMS, and ARF with     [entity] meningitis [entity]  on LP.",Present
"No signs or symptoms of [ENTITY]PE[/ENTITY] were noted in the patient, who presented with acute onset chest pain and tachycardia.",Absent
"Radiological findings indicate that [ENTITY]diabetes mellitus[/ENTITY] has caused significant renal impairment, warranting further evaluation.",Present
"History of Present Illness: 35F w/ poorly controlled  [entity] Type 1 diabetes mellitus w/ neuropathy [entity] , nephropathy, HTN, gastroparesis, CKD and retinopathy, recently hospitalized for orthostatic hypotension [**2-3**] autonomic neuropathy [**Date range (1) 25088**]; DKA hospitalizations in [**6-12**] and [**7-12**], now returning w/ 5d history of worsening nausea, vomiting with coffee-ground emesis, chills, and dyspnea on exertion.",Present
There is moderate  [entity] pulmonary artery systolic hypertension [entity] .,Present
"The etiology of her heart problems are likely a combination of her cocaine use, hyperlipidemia, and poorly controlled  [entity] type 1 DM [entity] .",Present
"Severe sepsis due to [ENTITY]bacteremia[/ENTITY] from a urinary source was diagnosed, and the patient was managed with fluids and targeted antibiotics.",Present
"Given history of GERD, there is a risk the patient could become [ENTITY]sick to stomach[/ENTITY] with spicy food intake tonight.",Hypothetical
"No [ENTITY]chronic obstructive pulmonary disease[/ENTITY] is noted on the patient's chart, with the current treatment plan focusing on managing type",Absent
"CXR showed right middle and lower lobe    infiltrates, concerning for PNA and given  [entity] hypoxia [entity] , lactic acidosis and    leukocytosis, patient was started on Levofloxacin and Ceftriaxone.",Present
"Patient reports increased dryness, increasing the likelihood of subsequent [ENTITY]skin irritation[/ENTITY].",Hypothetical
"H/O acute coronary syndrome (ACS, unstable angina,  [entity] coronary ischemia [entity] )    Assessment:    Known hx of CAD, prior CABG, Prior stent/PTCA, bp 131/60, hr 66 sr, pt    intubated electively for severe PTSD    Action:    Angio site clean dry intact no bleeding from site, pt received lasix    80mg and acetylcysteine 600mg creat pre procedure 1.",Present
The patient's condition is complicated by [ENTITY]altered mental status[/ENTITY] following a severe traumatic brain injury with subdural hematoma.,Present
[entity] Glaucoma [entity]  continued pilocarpine 0.,Present
"Given the lack of clinical response to initial antibiotics, further investigation revealed no signs of [ENTITY]pulmonary infection[/ENTITY], leading us to consider alternative diagnoses such as PE.",Absent
Denies withdrawal  [entity] seizures [entity] .,Absent
Imaging studies revealed a large [ENTITY]pulmonary embolism[/ENTITY] with significant clot burden and associated right heart dysfunction.,Present
Prophylactic antibiotics have been initiated to mitigate the likelihood of an [ENTITY]infectious process[/ENTITY] related to the recent central venous access.,Hypothetical
No  [entity] clear epileptiform discharges [entity]  or seizures were seen.,Absent
"The clinical presentation is consistent with [ENTITY]acute respiratory failure[/ENTITY] due to acute decompensated heart failure, showing significant pulmonary congestion.",Present
"Counselled on warning signs of withdrawal, which may include tremors or a possible [ENTITY]seizure[/ENTITY].",Hypothetical
"The pathology report confirmed the absence of [ENTITY]emphysema[/ENTITY] in the resected lung specimen, consistent with the preoperative diagnosis of localized disease.",Absent
"Although the patient's mental status did improve following endoscopic retrograde cholangiopancreatography, some residual symptoms of  [entity] agitation [entity]  and paranoia prompted a psychiatry consultation who recommended low dose of Haldol p.",Present
"Cardiac catheterization done on [**2140-10-26**], showed an ejection fraction of 80% with normal wall motion, severe  [entity] aneurysmal dilatation [entity]  of the ascending aorta into the arch, recurrent dilatation in the descending aorta with no dissection, 1+ aortic regurgitation, normal coronaries.",Present
"The respiratory status assessment revealed no [ENTITY]septic shock[/ENTITY], with the patient maintaining an SpO₂ of",Absent
UL and LL examination normal as could be examined secondary to  [entity] pain [entity] .,Present
He remained on nasal cannula for 4 days with stable respiratory status untill  onset of necrotizing  [entity] enterocolitis [entity] .,Present
"Upon admission, the patient was alert and oriented, with no indication of [ENTITY]altered mental status[/ENTITY] and a normal cranial nerve examination.",Absent
"Serial CXRs initially revealed worsening picture, with interval development of a LLL infiltrate consistent with multilobar process, and bilateral pleural  [entity] effusions [entity] .",Present
"He had angina again in [**2196**] and had an abnormal stress test and was re- cathed, and that showed 100 percent RCA lesion, a 50 percent left main  [entity] stenosis [entity] , and a left circumflex stenosis.",Present
"Rule out sepsis and DKA; initial labs do not indicate [ENTITY]hyperglycemia[/ENTITY], acidosis, or elevated lactate.",Absent
"On review of systems, she denies any prior history of stroke, TIA, deep venous thrombosis, pulmonary embolism,  [entity] bleeding [entity]  at the time of surgery, myalgias, joint pains, cough, hemoptysis, black stools or red stools.",Absent
"Patient has a predisposition to peripheral neuropathy, increasing the potential for developing distal [ENTITY]weakness[/ENTITY].",Hypothetical
"The assessment revealed a patient with severe sepsis, **not experiencing [ENTITY]GI bleeding[/ENTITY]**, but with persistent hypotension requiring vasopressor support.",Absent
The new onset of pleuritic chest pain raises concern for a possible [ENTITY]shortness of breath[/ENTITY] episode related to embolus.,Hypothetical
"Given the patient's history of GERD, it's important to note the absence of any current [ENTITY]gastric upset[/ENTITY], as well as no active heartburn.",Absent
"Not experiencing [ENTITY]systolic dysfunction[/ENTITY], the patient was deemed stable for transfer to a step-down unit for continued monitoring.",Absent
"ENT: No dry mouth, oral ulcers, bleeding nose, gums,  [entity] tinnitus [entity] , sinus pain, sore throat Cardiac: no chest pain, DOE, syncope, PND, orthopnea, palpitations, peripheral edema Pulmonary: No shortness of breath, hemoptysis, pleuritic pain.",Absent
"Due to the patient's history of [ENTITY]heart failure[/ENTITY], we have been monitoring for signs of fluid overload and adjusting diuretics accordingly.",Present
"RUQ u/s prelim showed:  [entity] gallstones [entity] , no evidence of acute cholecystitis.",Present
-  [entity] L2-L3 compression fractures [entity]  - Anterior abdominal wall fat-containing hernia and right inguinal hernia - Osteoporosis - Spinal Stenosis,Present
"The patient's presentation was initially concerning for possible sepsis, but all cultures are negative; there's no evidence of [ENTITY]bacteremia[/ENTITY].",Absent
"He has been doing well over the years until about 3 weeks ago when he started to notice some diaphoresis,  [entity] shortness of breath [entity]  and right sided chest discomfort that has occurred with exertion such as yard work or taking out the trash.",Present
Counselled on potential for developing [ENTITY]malaise[/ENTITY] with abrupt discontinuation of beta-blocker therapy.,Hypothetical
Chief Complaint:    24 Hour Events:  TRANS ESOPHAGEAL ECHO - At [**2165-4-25**] 11:00 AM  MAGNETIC RESONANCE IMAGING - At [**2165-4-25**] 04:20 PM    - Neuro  concerned about alpha coma on EEG; no evidence of sinus venous    thrombosis or  [entity] ischemic event [entity]  on MRI/MRV brain.,Absent
"During hospitalization, patient developed [ENTITY]acute on chronic respiratory failure[/ENTITY] with rising PaCO",Present
"As part of the treatment plan, we will assess the patient's [ENTITY]AFib[/ENTITY] burden and adjust medications accordingly to achieve optimal rate and rhythm control.",Present
"Examination of the chest revealed no retractions or accessory muscle use, and [ENTITY]there was a complete lack of persistent cough[/ENTITY] despite her reported exposure to a viral illness.",Absent
"Although the patient initially presented with [ENTITY]malaise[/ENTITY] due to dehydration, this has been completely resolved with IV fluids; discharge is appropriate.",Absent
The patient is at risk for a [ENTITY]nauseous feeling[/ENTITY] should significant post-operative pain management be insufficient.,Hypothetical
"Potential for delayed gastric emptying exists, so patient should report any prolonged [ENTITY]nausea[/ENTITY] and early satiety.",Hypothetical
"3 mg/dL    [**4-24**] Resp cx: moderate coag+ staph, sparse yeast; [**4-21**], [**4-22**], [**4-24**] bcx    NGTD    Assessment and Plan    55 yo male with DM 2,  [entity] HTN [entity] , CAD s/p IMI and DES to RCAx3 transferred    from OSH for high-grade bacteremia, foot ulcer, AMS, and ARF with    meningitis on LP.",Present
Management plan includes addressing the patient's [ENTITY]arrhythmia[/ENTITY] through medication adjustment and possible cardioversion.,Present
"Upon ED presentation, he c/o hip and low back pain, yet denied chest pain, dyspnea, abdominal pain, headache or  [entity] neck pain [entity] .",Absent
"The surgical team used a multimodal approach to manage [ENTITY]hypertension[/ENTITY], including medication and fluid management to optimize blood pressure control.",Present
The patient's postoperative recovery was marked by difficulties in managing [ENTITY]diabetes[/ENTITY] due to steroid-induced hyperglycemia.,Present
"After thorough neurological examination, there is no evidence to support a diagnosis of [ENTITY]cerebrovascular accident[/ENTITY] in the past",Absent
"Pulm: CTAB, no wheezes,  [entity] rhonchi [entity]  or rales.",Absent
"Imaging:    CT head: small foci of petechial hemorrhage within the left frontal    lob, no hydrocephalus,  [entity] subarachnoid hemorrhage [entity] , no fracture.",Absent
High grade  [entity] small-bowel obstruction [entity] .,Present
"Physician suspects mild urticarial reaction, but patient remains at risk for a more extensive [ENTITY]skin rash[/ENTITY].",Hypothetical
The recent financial loss elevates the likelihood of subclinical [ENTITY]depression[/ENTITY] emerging.,Hypothetical
"Imaging studies confirmed active [ENTITY]bleeding[/ENTITY] in the lower gastrointestinal tract, with plans for urgent colonoscopy and potential intervention.",Present
"Following initiation of amiodarone, patient developed no [ENTITY]drug-induced rash[/ENTITY], and blood pressure remains controlled with current regimen.",Absent
"Ext: Bilateral BKAs, right BKA stump with  [entity] scant milky drainage [entity] ; warm, well perfused, 2+ Popliteal pulses palpable bilaterally, no cyanosis or edema",Present
"The discharge diagnosis section confirms that the patient was treated for acute myocardial infarction without complication or development of [ENTITY]congestive heart failure[/ENTITY].
Note Type: Discharge Summary
Section: Discharge Diagnosis
Target Entity: congestive heart failure
Negation: TRUE
---",Absent
"The patient underwent the procedure without evidence of [ENTITY]respiratory infection[/ENTITY], with stable vitals and a benign preoperative history.",Absent
"SKIN: No  [entity] stasis dermatitis [entity] , ulcers, scars, or xanthomas.",Absent
"The patient was not experiencing [ENTITY]chronic bronchitis[/ENTITY] or any other respiratory distress at the time of surgery, with stable vital signs and SpO",Absent
We educated the patient on the possibility of developing transient [ENTITY]malaise[/ENTITY] following the recent infusion.,Hypothetical
No  [entity] electrographic seizures [entity]  are present.,Absent
"No evidence of [ENTITY]acute respiratory failure[/ENTITY] was found on examination, with stable vitals and an SpO",Absent
[**4-21**] CXR: (per HO)    no acute  [entity] cardiopulmonary disease [entity] ; ET tube in place    .,Absent
The patient's condition worsened due to acute exacerbation of [ENTITY]congestive heart failure[/ENTITY] with significant fluid overload.,Present
Discussion centered on whether patient might experience [ENTITY]breathlessness[/ENTITY] with upcoming strenuous activity.,Hypothetical
"Patient education provided on recognizing symptoms of post-concussive syndrome, including potential [ENTITY]nausea[/ENTITY].",Hypothetical
Multiple CT scans of her abdomen revealed no evidence of obstruction and the ileus was thought to be secondary to  [entity] inflammation [entity]  and irritation from the necrotic omentum.,Present
The patient's history of peptic ulcer disease places them at increased risk of [ENTITY]hematemesis[/ENTITY] with NSAID resumption.,Hypothetical
"The evolving cardiac rhythm may portend future episodes of [ENTITY]dizziness[/ENTITY], necessitating ongoing Holter monitoring.
Note Type: Discharge Summary
Section: Hospital Course
Target Entity: dizziness
Hypothetical: TRUE",Hypothetical
"She denies any [ENTITY]chest pain[/ENTITY] or discomfort during exercise, stress, or at rest, with a recent stress test demonstrating good exercise tolerance.",Absent
Persistent coarsened echotexture of the liver consistent with known history of  [entity] cirrhosis [entity] .,Present
"Given the patient's history of recurrent [ENTITY]PE[/ENTITY], anticoagulation therapy will continue for at least",Present
"While considering differentials, we can reasonably exclude [ENTITY]tension headache[/ENTITY] due to the unilateral, throbbing nature of the pain and the presence of aura.
Note Type: Consultation Note
Section: Recommendations
Target Entity: tension headache
Negation: TRUE
---",Absent
"The patient's condition was complicated by [ENTITY]hypertension[/ENTITY], stage",Present
"Despite the patient's reported history of migraines, there's absolutely [ENTITY]no observed seizure activity[/ENTITY] during this extended observation period.",Absent
"We are watching for any febrile episodes post-procedure, as this could indicate the onset of [ENTITY]bacteremia[/ENTITY].",Hypothetical
The clinical evaluation shows no evidence of [ENTITY]septic shock[/ENTITY]; the patient's blood pressure is,Absent
Patient remains at risk for worsening [ENTITY]fatigue[/ENTITY] if ambulation is not gradually increased postoperatively.,Hypothetical
"The patient's stable condition, lack of hypotension, and absence of organ dysfunction indicate no [ENTITY]septic shock[/ENTITY], allowing us to focus on source control and antimicrobial therapy.
Note Type: SOAP Note
Section: Plan
Target Entity: septic shock
Negation: TRUE
---",Absent
"Chief Complaint:   [entity] Pancytopenia [entity] , ICH    HPI:    58 y/o M presented to [**Hospital1 **] [**Location (un) 250**] after a syncopal episode today where    he sustained a facial hematoma.",Present
"No intrahepatic biliary ductal dilatation, no  [entity] gallstones [entity] , the gallbladder is normal in appearance.",Absent
Patient was diagnosed with [ENTITY]atrial fibrillation[/ENTITY] and managed with rate control medications during the hospital stay.,Present
There is no visible pneumothorax or  [entity] pleural effusion [entity] .,Absent
"A significant electrolyte imbalance could precipitate an acute [ENTITY]mood disorder[/ENTITY], necessitating careful metabolic monitoring and neurological checks.",Hypothetical
"He mentions a family history of coronary artery disease, but personally, he has never experienced [ENTITY]thoracic pain[/ENTITY], shortness of breath, or edema.",Absent
The surgical team observed no ECG changes or hemodynamic instability suggestive of [ENTITY]acute MI[/ENTITY] during the procedure.,Absent
No  [entity] PE [entity] .,Absent
"The patient's postoperative course was complicated by [ENTITY]disorientation[/ENTITY], which was managed with haloperidol and environmental adjustments.",Present
"Severe [ENTITY]community-acquired pneumonia[/ENTITY] resulted in hypoxemia, causing right ventricular strain and elevated pulmonary artery pressures.",Present
"Due to the patient's pre-existing anxiety and current neurological deficit, we must remain vigilant for any developing [ENTITY]mood disorder[/ENTITY].",Hypothetical
"[entity] Finger pain [entity]  is described as stiff, sore, and achy with associated calor.",Present
"No rigidity, no  [entity] tremor [entity] , no bradykinesia Strength: Left sided hemiplegia.",Absent
"After reviewing the patient's chart and current labs, there was no indication of [ENTITY]acute respiratory failure[/ENTITY], with a PaO",Absent
"[**2149-11-26**] 11:07 AM  MR-ANGIO HEAD; MR HEAD W/O CONTRAST                             Clip # [**Clip Number (Radiology) 39209**]  MR-ANGIO NECK WITHOUT CONTRAST; MR RECONSTRUCTION IMAGING  -59 DISTINCT PROCEDURAL SERVICE; MR RECONSTRUCTION IMAGING  Reason: evaluate for L frontal CVA  ______________________________________________________________________________  [**Hospital 4**] MEDICAL CONDITION:   70 year old woman with h/o HTN admitted to MICU with resp distress, CHF,    [entity] neurological changes [entity] , and labile HTN, found to have L frontal CVA on CT scan,   also has h/o R sided carotid stenosis so needs MRA of neck  REASON FOR THIS EXAMINATION:   evaluate for L frontal CVA  ______________________________________________________________________________                                  FINAL REPORT  (REVISED)  HISTORY:  70 y/o woman with history of hypertension admitted to MICU with  respiratory distress.",Present
"Upon examination, the patient did not show any indication of [ENTITY]hemorrhage[/ENTITY] in the eyes, despite reporting blurred vision.",Absent
"Patient with ESRD on hemodialysis via AV fistula reports no recent chills/rigors, and denies any history of [ENTITY]blood stream infections[/ENTITY] including bacteremia.
Note Type: Admission Note
Section: Past Medical History
Target Entity: bacteremia
Negation: TRUE
---",Absent
"Gastrointestinal bleed, upper (Melena, GI Bleed,  [entity] GIB [entity] )    Assessment:    Hct dropped from 26 to 21, hypotensive to 80    Action:    Received 3 units of PRBC s, Attempted to place NGT but failed because    he was gagging continuously.",Present
"Should the patient experience [ENTITY]gastric pain[/ENTITY], titrate PPI to twice daily and consider H",Hypothetical
